V,V_R,V_D,I_D
0.1,0,0.12,-0.0002
0.2,0,0.26,-0.0006
0.3,0,0.34,-0.0004
0.4,0.01,0.46,-0.0006
0.5,0.02,0.52,-0.0002
0.6,0.09,0.58,0.000200000000000001
0.7,0.14,0.6,0.000999999999999999
0.8,0.22,0.62,0.0018
0.9,0.32,0.64,0.0026
1,0.39,0.65,0.0035
1.1,0.53,0.66,0.0044
1.2,0.58,0.67,0.0053
1.3,0.71,0.68,0.0062
1.4,0.8,0.68,0.0072
1.5,0.86,0.69,0.0081
1.6,0.7,0.69,0.0091
1.7,1.05,0.7,0.01
1.8,1.18,0.7,0.011
1.9,1.254,0.706,0.01194
2,1.366,0.709,0.01291
2.1,1.434,0.711,0.01389
2.2,1.54,0.715,0.01485
2.3,1.589,0.716,0.01584
2.4,1.759,0.72,0.0168
2.5,1.806,0.721,0.01779
2.6,1.876,0.723,0.01877
2.7,2.04,0.728,0.01972
2.8,2.09,0.728,0.02072
2.9,2.16,0.729,0.02171
3,2.25,0.731,0.02269
3.1,2.3,0.732,0.02368
3.2,2.4,0.734,0.02466
3.3,2.56,0.737,0.02563
3.4,2.63,0.738,0.02662
3.5,2.75,0.739,0.02761
3.6,2.88,0.74,0.0286
3.7,3,0.742,0.02958
3.8,3.07,0.743,0.03057
3.9,3.16,0.744,0.03156
4,3.28,0.745,0.03255
