V,V_R,V_D,I_D
0.1,0,0.161,-0.00061
0.2,0,0.234,-0.00034
0.3,0.001,0.361,-0.00061
0.4,0.012,0.427,-0.000269999999999999
0.5,0.088,0.495,5.00E-05
0.6,0.164,0.521,0.00079
0.7,0.219,0.536,0.00164
0.8,0.336,0.559,0.00241
0.9,0.404,0.568,0.00332
1,0.499,0.58,0.0042
1.2,0.64,0.595,0.00605
1.4,0.757,0.605,0.00795
1.6,1.002,0.623,0.00977
1.8,1.175,0.633,0.01167
2,1.435,0.647,0.01353
2.2,1.628,0.655,0.01545
2.4,1.734,0.659,0.01741
2.6,1.916,0.667,0.01933
2.8,2.18,0.674,0.02126
3,2.28,0.678,0.02322
3.5,2.81,0.692,0.02808
4,3.3,0.702,0.03298
